,CEP,latitude,longitude,valor_total,contagem,bairro_dominante
77,40231015,-12.996216,-38.5004313,55117.96,31,FEDERACAO
78,40070410,-12.9858459,-38.5117873,96909.48,14,BARRIS
79,40315470,-12.9777334,-38.501648,97025.84,15,PAU MIUDO
80,40454120,-12.9777334,-38.501648,180557.72,44,URUGUAI
81,40130000,-12.9777334,-38.501648,70049.73,44,BARRA
82,40450435,-12.9326728,-38.4956592,3576.9,11,URUGUAI
83,40045040,-12.9777334,-38.501648,24187.3,28,SAUDE
84,41385160,-12.9777334,-38.501648,31005.73,37,SETE DE ABRIL
85,40370300,-12.9430498,-38.48960539999999,37160.06,45,LIBERDADE
86,40425240,-12.9777334,-38.501648,10253.0,18,MTE SERRAT
87,40040140,-12.9777334,-38.501648,6809.1,11,NAZARE
88,40230040,-12.9777334,-38.501648,152937.30000000002,71,FEDERACAO
89,40243005,-12.9871951,-38.5027304,39339.08,26,ENGENHO VELHO DE BROTAS
90,40250420,-12.9777334,-38.501648,27093.780000000002,6,COSME DE FARIAS
91,41706670,-12.9777334,-38.501648,92293.38,43,BOCA DO RIO
92,41830630,-12.9777334,-38.501648,186548.88,53,PITUBA
93,40330160,-12.9777334,-38.501648,11510.83,30,IAPI
94,41253280,-12.9270972,-38.4390048,18018.96,12,S MARCOS
95,40323010,-12.9576084,-38.4934447,47483.67,57,CAIXA D AGUA
96,41195355,-12.9425365,-38.4591157,189.65,1,BARREIRAS
97,40415130,-12.9777334,-38.501648,10741.1,9,BONFIM
98,40715043,-12.8914542,-38.4720503,294.04999999999995,3,IA AMARELA
99,41500064,-12.9777334,-38.501648,53.96,2,S CRISTOVAO
100,40276070,-12.9777334,-38.501648,9937.42,16,CAMPINAS DE BROTAS
101,41336730,-12.9777334,-38.501648,2989.72,5,CAJAZEIRAS VI
102,40050330,-12.9777334,-38.501648,29074.4,20,NAZARE
103,41603400,-12.9777334,-38.501648,12370.88,9,PR DO FLAMENGO
104,41510164,-12.9777334,-38.501648,4036.95,8,S CRISTOVAO
105,41235380,-12.9777334,-38.501648,2952.9700000000003,8,PAU DA LIMA
106,41830050,-12.9777334,-38.501648,77959.40000000001,31,PITUBA
107,40750630,-12.9777334,-38.501648,2089.6099999999997,6,COUTOS
108,40100000,-12.9777334,-38.501648,131668.62,49,GARCIA
109,41740090,-12.9507294,-38.4096212,122236.87999999999,101,PITUACU
110,40750120,-12.9777334,-38.501648,168680.24000000002,71,COUTOS
111,40725032,-12.8750306,-38.4736571,779.17,1,PR GRANDE
112,40450230,-12.9777334,-38.501648,2996.0499999999997,10,URUGUAI
113,41710060,-12.9777334,-38.501648,180.89,1,BOCA DO RIO
114,41213000,-12.9777334,-38.501648,271071.03,168,SUSSUARANA
115,41295715,-12.9050216,-38.4602145,480.39,3,PIRAJA
116,40390010,-12.9305656,-38.4742308,41061.270000000004,30,S CAETANO
117,40430410,-12.9300354,-38.5007796,6869.959999999999,6,VL RUY BARBOSA
118,41215740,-12.9777334,-38.501648,32267.300000000003,15,SUSSUARANA
119,40283480,-12.9777334,-38.501648,4606.08,9,DANIEL LISBOA
120,40279170,-12.9777334,-38.501648,2179.96,4,PRQ BELA VISTA
121,40050520,-12.9777334,-38.501648,19309.45,16,NAZARE
122,40315360,-12.9777334,-38.501648,19218.03,20,PAU MIUDO
123,40255436,-12.9782746,-38.497934,27107.59,19,MATATU
124,40375070,-12.9777334,-38.501648,10197.35,14,LIBERDADE
125,41330155,-12.9016134,-38.4134084,319.71,2,CAJAZEIRAS VIII
126,40313630,-12.9777334,-38.501648,40509.23,34,CIDADE NOVA
127,41235400,-12.9777334,-38.501648,217.2,1,PAU DA LIMA
128,40301460,-12.9777334,-38.501648,663.29,2,STO ANTONIO
129,41301710,-12.8701311,-38.4306648,602.43,1,VALERIA
130,41180005,-12.9574421,-38.4546556,14826.54,21,SABOEIRO
131,41490176,-12.9109229,-38.3661099,256.18,1,MUSSURUNGA I
132,41342495,-12.9777334,-38.501648,4946.01,10,JAGUARIPE I
133,41720025,-12.968533,-38.43265359999999,77867.18,49,IMBUI
134,40430560,-12.9777334,-38.501648,4951.96,13,VL RUY BARBOSA
135,40330290,-12.9572895,-38.483582,9166.43,8,IAPI
136,40170700,-12.9777334,-38.501648,10870.68,9,ONDINA
137,40170130,-12.9777334,-38.501648,54608.270000000004,24,ONDINA
138,41810060,-12.9777334,-38.501648,4513.28,5,PITUBA
139,41120095,-12.9701486,-38.4541432,1736.0600000000002,3,PERNAMBUES
140,41635150,-12.9777334,-38.501648,115811.79000000001,58,ITAPUA
141,40155250,-12.9777334,-38.501648,59728.270000000004,38,JD APIPEMA
142,40260001,-12.9777334,-38.501648,38156.979999999996,46,MATATU
143,40750292,-12.8574424,-38.4669667,500.53,1,COUTOS
144,41350275,-12.9100499,-38.3737944,261826.76,86,NOVA BRASILIA
145,41204029,-12.944942,-38.462813,97.31,1,ARRAIAL DO RETIRO
146,41310355,-12.8826533,-38.4229725,5121.57,18,AGUAS CLARAS
147,41217040,-12.9777334,-38.501648,487.66999999999996,4,SUSSUARANA
148,41194025,-12.9641718,-38.4380783,13726.220000000001,17,DORON
149,40050070,-12.9777334,-38.501648,5476.110000000001,4,TORORO
150,41345100,-12.8887584,-38.4023476,29031.699999999997,18,CAJAZEIRAS
151,40020035,-12.9755787,-38.5127622,2008.26,2,CENTRO
152,40220110,-12.9979121,-38.4962434,60159.72,17,ENGENHO VELHO DA FEDERACAO
153,41130000,-12.9777334,-38.501648,40673.14,38,PERNAMBUES
154,41322220,-12.9777334,-38.501648,128.94,1,CASTELO BRANCO
155,40300520,-12.9777334,-38.501648,6707.02,15,MACAUBAS
156,41311574,-12.9777334,-38.501648,1260.82,5,AGUAS CLARAS
157,41770065,-12.9844877,-38.4429234,7950.8,6,STIEP
158,40415065,-12.9252823,-38.5112906,2692.7599999999998,5,BONFIM
159,41270640,-12.9777334,-38.501648,1591.21,5,CAMPINAS DE PIRAJA
160,41386470,-12.9777334,-38.501648,709.81,3,SETE DE ABRIL
161,41500710,-12.9103635,-38.3614329,25380.82,76,S CRISTOVAO
162,41231305,-12.9317386,-38.461827,940.0899999999999,2,JD STO INACIO
163,41190290,-12.9530396,-38.4645383,9933.61,7,S GONCALO
164,41253223,-12.9407287,-38.4222983,793.62,3,S MARCOS
165,41490167,-12.9131532,-38.36333219999999,1357.3000000000002,2,MUSSURUNGA I
166,40352000,-12.9777334,-38.501648,57794.64,51,FAZ GRANDE DO RETIRO
167,41730101,-12.9777334,-38.501648,238904.7,88,PARALELA
